SITE,Date,Hour,OZONE,TEMP_F,StateCode,CountyCode,SiteNum,Latitude,Longitude,Time,Parameter,YEAR,Month,Day
27-137-7001,2016-07-03,4,13,72.8,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,7,03
27-137-7001,2016-07-04,0,15,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,04
27-137-7001,2016-07-05,0,25,80.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,05
27-137-7001,2016-07-06,0,14,83,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,06
27-137-7001,2016-07-07,1,16,79.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,07
27-137-7001,2016-07-08,3,10,63.2,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,7,08
27-137-7001,2016-07-09,2,6,72.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,7,09
27-137-7001,2016-07-10,1,12,79.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,10
27-137-7001,2016-07-11,0,23,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,11
27-137-7001,2016-07-12,1,20,72.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,12
27-137-7001,2016-07-13,1,19,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,13
27-137-7001,2016-07-14,0,9,56,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,14
27-137-7001,2016-07-15,1,8,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,15
27-137-7001,2016-07-16,0,8,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,16
27-137-7001,2016-07-17,2,10,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,7,17
27-137-7001,2016-07-18,1,14,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,18
27-137-7001,2016-07-19,0,15,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,19
27-137-7001,2016-07-20,1,17,79.69999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,20
27-137-7001,2016-07-21,4,19,87.8,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,7,21
27-137-7001,2016-07-22,5,18,77.6,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,7,22
27-137-7001,2016-07-23,0,7,74,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,23
27-137-7001,2016-07-24,10,10,76.4,27,137,7001,47.523355,-92.536305,1899-12-31T10:00:00Z,88101,2016,7,24
27-137-7001,2016-07-25,1,13,71,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,7,25
27-137-7001,2016-07-26,0,14,82.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,26
27-137-7001,2016-07-27,0,8,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,27
27-137-7001,2016-07-28,7,9,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2016,7,28
27-137-7001,2016-07-29,2,13,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,7,29
27-137-7001,2016-08-05,14,11,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T14:00:00Z,88101,2016,8,05
27-137-7001,2016-08-06,0,20,72.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,06
27-137-7001,2016-08-07,1,18,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,07
27-137-7001,2016-08-08,0,13,77.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,08
27-137-7001,2016-08-09,1,19,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,09
27-137-7001,2016-08-10,2,25,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,8,10
27-137-7001,2016-08-11,4,11,71.6,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,8,11
27-137-7001,2016-08-12,3,11,75.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,8,12
27-137-7001,2016-08-13,3,12,72.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,8,13
27-137-7001,2016-08-14,1,9,71.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,14
27-137-7001,2016-08-15,1,9,80.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,15
27-137-7001,2016-08-16,0,12,71,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,16
27-137-7001,2016-08-17,6,12,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,8,17
27-137-7001,2016-08-18,6,6,65.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,8,18
27-137-7001,2016-08-19,0,6,71,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,19
27-137-7001,2016-08-20,1,6,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,20
27-137-7001,2016-08-21,0,7,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,21
27-137-7001,2016-08-22,8,10,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T08:00:00Z,88101,2016,8,22
27-137-7001,2016-08-23,0,12,65,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,23
27-137-7001,2016-08-24,0,12,71,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,24
27-137-7001,2016-08-25,2,14,72.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,8,25
27-137-7001,2016-08-26,3,8,66.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,8,26
27-137-7001,2016-08-27,4,6,68.6,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,8,27
27-137-7001,2016-08-28,0,11,71.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,28
27-137-7001,2016-08-29,0,9,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,8,29
27-137-7001,2016-08-30,1,7,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,8,30
27-137-7001,2016-08-31,3,6,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,8,31
27-137-7001,2016-09-01,10,5,70.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T10:00:00Z,88101,2016,9,01
27-137-7001,2016-09-02,1,7,74,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,02
27-137-7001,2016-09-03,0,6,71.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,03
27-137-7001,2016-09-04,4,6,72.8,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,9,04
27-137-7001,2016-09-05,1,6,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,05
27-137-7001,2016-09-06,6,6,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,9,06
27-137-7001,2016-09-07,3,7,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,9,07
27-137-7001,2016-09-08,1,8,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,9,08
27-137-7001,2016-09-09,0,11,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,9,09
27-137-7001,2016-09-10,5,5,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,9,10
27-137-7001,2016-09-11,2,17,51.199999999999996,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,9,11
